FID,id1,aa,company,a_m,thesh,kal_dhm_enothta,kal_perif_enothta,kal_dhmos,power,area_power,katastash_code,katastash_descr,imerominia,imerominia_ekdosis_adeias,geometry
V_SDI_R_PHOTOVOLTAICS13.13572,13572,Γ-01754,ΗΛΙΟΕΠΕΝΔΥΤΙΚΗ ΑΕ,ΑΔ-01083,ΠΑΝΑΓΑΙΙΚΑ,ΤΡΙΚΟΛΩΝΩΝ,ΑΡΚΑΔΙΑΣ,ΓΟΡΤΥΝΙΑΣ,1.15,18.784,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-01-16,2008-03-14,"MULTIPOLYGON (((22.132163584100358 37.4778231202811, 22.13141482339781 37.4779194267416, 22.131488567014372 37.47813689094345, 22.131539702749258 37.47835399748394, 22.13208440937034 37.47873212099431, 22.1321616550116 37.47835482158126, 22.13213806016523 37.47793987792197, 22.132163584100358 37.4778231202811)), ((22.132720529531667 37.477255131912955, 22.132137970683722 37.47748925630959, 22.132207903230164 37.47785987069751, 22.132202385811794 37.47853571370643, 22.13255393648712 37.47849621008549, 22.132713316020997 37.47845366768391, 22.133065762847668 37.47837812707992, 22.13327807606059 37.47848061899801, 22.133344428488197 37.47899537461368, 22.133633758424786 37.478729574397754, 22.13373661687665 37.478686137541345, 22.13366129740625 37.4785317366193, 22.133768413495044 37.47831713130347, 22.133844529752945 37.47798487485164, 22.133894003723714 37.47781442074462, 22.133471621107468 37.477519350146686, 22.133283935665823 37.47733613613688, 22.1332322190954 37.47759667860367, 22.132873852924288 37.4774558284678, 22.132720529531667 37.477255131912955)))"
V_SDI_R_PHOTOVOLTAICS13.13483,13483,Γ-01784,Χ. ΡΟΚΑΣ ΑΝΩΝΥΜΗ ΒΙΟΜΗΧΑΝΙΚΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,ΑΔ-01130,ΒΙ.ΠΕ ΜΕΛΙΓΑΛΑ  (ΜΕΛΙΓΑΛΑΣ ΙΙ),ΜΕΛΙΓΑΛΑ,ΜΕΣΣΗΝΙΑΣ,ΟΙΧΑΛΙΑΣ,1.999,25.901,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-03-06,2008-10-29,"MULTIPOLYGON (((21.993410405346562 37.21444957203906, 21.99359496751789 37.21258709815297, 21.990744045445812 37.21258964641146, 21.9907046937892 37.21451338021915, 21.993410405346562 37.21444957203906)))"
V_SDI_R_PHOTOVOLTAICS13.11266,11266,Γ-01666,ΑΚΤΙΝΑ ΛΑΚΩΝΙΑΣ ΑΕ,ΑΔ-01077,ΞΗΡΟΚΑΜΠΙ,ΣΚΑΛΑΣ,ΛΑΚΩΝΙΑΣ,ΕΥΡΩΤΑ,6,19.872,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2006-07-24,2008-01-15,"MULTIPOLYGON (((22.63356683232794 36.86486094630958, 22.63848856582634 36.86566558481726, 22.63867777633252 36.86511790579389, 22.63917460808115 36.86430333281338, 22.63938496317312 36.86382800562692, 22.63949887872087 36.86373015705699, 22.63924666950208 36.86340276987871, 22.638342194354124 36.86316706344167, 22.637781890246757 36.863133600905826, 22.63719947548833 36.863081854433446, 22.636518349977273 36.86164083519498, 22.63605707487619 36.86171666725219, 22.635885318503465 36.86191300134481, 22.63556519405079 36.86288282547314, 22.635062408635388 36.86339985697761, 22.6345070658227 36.86371797713313, 22.63356683232794 36.86486094630958)))"
V_SDI_R_PHOTOVOLTAICS13.12637,12637,Γ-03172,ΖΑΡΖΑΒΑΤΣΑΚΗΣ ΣΤΑΥΡΙΔΗΣ Α.Ε. ΕΝΕΡΓΕΙΑΚΗ Α.Ε.,ΑΔ-01771,ΕΚΤΟΣ ΣΧΕΔΙΟΥ Δ.Δ. ΕΞΟΧΗΣ ΔΗΜΟΥ ΤΟΠΕΙΡΟΥ Ν. ΞΑΝΘΗΣ,ΤΟΠΕΙΡΟΥ,ΞΑΝΘΗΣ,ΤΟΠΕΙΡΟΥ,1,29.664,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-12-10,2010-09-29,"MULTIPOLYGON (((24.85624448050037 41.03932690072981, 24.856982152031122 41.03933042588553, 24.857718654274883 41.0392438753261, 24.858220042257525 41.03937526235254, 24.858472743931976 41.038679766661375, 24.859224529525775 41.038854323772846, 24.85937296785176 41.03837579462621, 24.85684146548835 41.03765598931385, 24.85624448050037 41.03932690072981)))"
V_SDI_R_PHOTOVOLTAICS13.11564,11564,Γ-02212,SOLAR INVEST MD ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ (δ.τ. SOLAR INVEST MD A.E.),ΑΔ-01618,ΑΝΩ & ΚΑΤΩ ΜΠΟΥΡΑΖΕΡΙ,ΠΡΕΒΕΖΗΣ,ΠΡΕΒΕΖΑΣ,ΠΡΕΒΕΖΑΣ,1.999,1.026,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-11,2010-06-03,"MULTIPOLYGON (((20.728939393906604 39.067174290341065, 20.728978489482856 39.067328526687376, 20.72928061963851 39.0672919686721, 20.729271157282923 39.067246662240116, 20.729619864360117 39.06720240282933, 20.729801282132208 39.067027332375446, 20.729722576981782 39.066980082263285, 20.729746073364232 39.06697173367966, 20.7297011584018 39.06694344838947, 20.72965499677576 39.06694215255385, 20.729565167000914 39.06688558189178, 20.72940766110341 39.067043306971804, 20.729136094320335 39.06691857666098, 20.728939393906604 39.067174290341065)))"
V_SDI_R_PHOTOVOLTAICS13.11452,11452,Γ-01776,STAR ΕΝΕΡΓΕΙΑΚΗ Μ.Ε.Π.Ε,ΑΔ-01205,ΜΕΓΑ ΙΣΙΩΜΑ,ΣΚΙΡΙΤΙΔΑΣ,ΑΡΚΑΔΙΑΣ,ΤΡΙΠΟΛΗΣ,1.98,21.154,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-02-14,2009-04-02,"MULTIPOLYGON (((22.357203841180443 37.26826602596232, 22.356734340063582 37.267556506246315, 22.356506989243407 37.26712072649735, 22.35605808349406 37.26650160974339, 22.355768492837594 37.26633535367293, 22.355231071629138 37.26615663027895, 22.355131960539822 37.266047097231905, 22.35452318171896 37.26603863586674, 22.354474940928746 37.268255158691424, 22.355219221779315 37.26825649050323, 22.357203841180443 37.26826602596232)))"
V_SDI_R_PHOTOVOLTAICS13.12329,12329,Γ-02335,SAFE ENERGY AE ΑΞΙΟΠΟΙΗΣΗΣ  ΗΠΙΩΝ ΜΟΡΦΩΝ ΕΝΕΡΓΕΙΑΣ (Δ.Τ. SAFE ENERGY AE),ΑΔ-01442,ΚΟΥΤΣΟΜΠΕΛΙΑ I,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,1,25.812,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-11,2010-01-29,"MULTIPOLYGON (((21.158213885496572 38.34597563347846, 21.1583116190228 38.3460011587181, 21.15964793477254 38.34637421688285, 21.160367569001725 38.344690077170874, 21.15908079327962 38.344329310610746, 21.15898405693728 38.34430173797204, 21.158213885496572 38.34597563347846)))"
V_SDI_R_PHOTOVOLTAICS13.13197,13197,Γ-01679,ΦΩΤΟΕΝΕΡΓΕΙΑ ΣΙΔΗΡΟΚΑΣΤΡΟΥ ΑΕ,ΑΔ-01045,ΧΑΡΩΠΟ,ΣΙΔΗΡΟΚΑΣΤΡΟΥ,ΣΕΡΡΩΝ,ΣΙΝΤΙΚΗΣ,0.4,29.746,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2006-08-29,2007-06-19,"MULTIPOLYGON (((23.37759308166374 41.25583174989405, 23.377992630388263 41.25626597410467, 23.378177272406862 41.256156706387586, 23.378495248363787 41.25642547624504, 23.378402290593993 41.25648305877831, 23.378731426604283 41.25667078561087, 23.3792848476343 41.256111649494116, 23.37897739367397 41.25593835350784, 23.379170250023588 41.25574350400337, 23.378213949676937 41.255204478962, 23.37759308166374 41.25583174989405)))"
V_SDI_R_PHOTOVOLTAICS13.12231,12231,Γ-01957,ΖΕΝΙΤΗ ENERGY A.E.,ΑΔ-01494,ΚΟΥΦΑΛΑ,ΠΗΝΕΙΑΣ,ΗΛΕΙΑΣ,ΗΛΙΔΑΣ,1.999,27.01,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-06,2010-03-12,"MULTIPOLYGON (((21.567640481985876 37.85936031078817, 21.56769811053778 37.859349787481875, 21.567770150647657 37.859336498234505, 21.567976698463056 37.85929048511415, 21.56863620542439 37.859177506850905, 21.569347910386433 37.85923996681106, 21.56958448492698 37.859286663962926, 21.569920090983395 37.85935991562125, 21.57032253745171 37.859533217328824, 21.57023737638871 37.859762592646135, 21.57036486602506 37.859832807639975, 21.57050286151137 37.859918828502614, 21.57058103265362 37.859788069847816, 21.570705297819565 37.859579235673124, 21.570830903292595 37.85936763558954, 21.57096752752051 37.85910426899051, 21.57108630908922 37.85885468131982, 21.571133502492547 37.858718867487696, 21.57106939530526 37.85866365829316, 21.57099616609177 37.858574739662565, 21.57083665877276 37.85829588932161, 21.57073363740636 37.85813129349808, 21.570587107218266 37.85789686487078, 21.570482359622996 37.85773295408325, 21.57041407380607 37.857656211965406, 21.570330354861078 37.85759951618216, 21.5699869348813 37.85750141414761, 21.569886106682855 37.85745698026206, 21.569756594002243 37.8574623257685, 21.569591688196777 37.857469102881645, 21.56941005120999 37.857476615546624, 21.56918733044723 37.85748580246391, 21.56904910877229 37.85751061140648, 21.568855438687443 37.85754535837292, 21.568703463395384 37.857573667432895, 21.56866028307051 37.85758034465932, 21.56846353388282 37.85768801689365, 21.568188556796198 37.857858951958306, 21.568038632615746 37.857976962495854, 21.56789477380896 37.858090232211104, 21.567784574774212 37.85820293583514, 21.567676032637902 37.85839659283141, 21.567654802512628 37.85843391035649, 21.567602128390153 37.858476975834684, 21.567566695583025 37.85853490543425, 21.567539482445632 37.858622831489974, 21.56751901465999 37.858795961271426, 21.567515630615034 37.85895763967498, 21.567539421206206 37.85915700527289, 21.567640481985876 37.85936031078817)))"
V_SDI_R_PHOTOVOLTAICS13.14048,14048,Γ-02329,SAFE ENERGY AE ΑΞΙΟΠΟΙΗΣΗΣ  ΗΠΙΩΝ ΜΟΡΦΩΝ ΕΝΕΡΓΕΙΑΣ (Δ.Τ. SAFE ENERGY AE),ΑΔ-01443,ΚΟΥΤΣΟΜΠΕΛΙΑ II,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,2,28.584,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-11,2010-01-29,"MULTIPOLYGON (((21.15964793477254 38.34637421688285, 21.159680300198772 38.34638329037853, 21.16168606308443 38.34698671244508, 21.162700943401127 38.347292034887396, 21.163448139589693 38.345565566355695, 21.16243658741252 38.34527808044438, 21.16140015184175 38.34498349607847, 21.160399819498 38.344699147674596, 21.160367569001725 38.344690077170874, 21.15964793477254 38.34637421688285)))"
V_SDI_R_PHOTOVOLTAICS13.14001,14001,Γ-02331,ΣΠΑΡΤΣΗΣ ΙΩΑΝΝΗΣ & ΠΑΝΑΓΙΩΤΗΣ ΓΙΑΝΝΟΠΟΥΛΟΣ ΟΕ (Δ.Τ. ΟΧΘΙΑ ΕΝΕΡΓΕΙΑΚΗ),ΑΔ-01320,ΚΟΝΑΚΙ,ΕΙΡΗΝΟΥΠΟΛΗΣ,ΗΜΑΘΙΑΣ,ΗΡΩΙΚΗΣ ΠΟΛΕΩΣ ΝΑΟΥΣΑΣ,1.568,23.225,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-08,2009-12-15,"MULTIPOLYGON (((22.255880450134192 40.680599970500076, 22.255707905419346 40.68131800636613, 22.257720879528073 40.681717737330025, 22.257810608236223 40.680998448460855, 22.257889079558502 40.68071137551035, 22.257879831006374 40.680612147475074, 22.257742586452025 40.680429915202076, 22.257709682469663 40.68033033009962, 22.25772455886122 40.68021345010349, 22.25805938408792 40.679623972632974, 22.258126259306568 40.67932771640494, 22.25703004068406 40.67916704024964, 22.256491556232515 40.67985252720005, 22.25601478199021 40.680439855440596, 22.255880450134192 40.680599970500076)))"
V_SDI_R_PHOTOVOLTAICS13.14158,14158,Γ-02820,NG PROPERTIES A.E. ΑΝΩΝΥΜΗ ΚΤΗΜΑΤΙΚΗ ΟΙΚΟΔΟΜΙΚΗ ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ ΕΤΑΙΡΕΙΑ (Δ.Τ. NG PROPERTIES A.E),ΑΔ-02126,ΒΛΑΧΑ - ΚΑΣΙΜΑΧΑ,ΜΕΔΕΩΝΟΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ,1.948,21.79,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-08-10,2010-10-20,"MULTIPOLYGON (((21.060493059135894 38.79366359199762, 21.060713470068702 38.79418265683745, 21.060819591289473 38.79440154555458, 21.060840001803683 38.79446512271851, 21.060973562522385 38.79457659339916, 21.06137125367053 38.794703721045785, 21.061432152054756 38.79518273356414, 21.061853993446565 38.7955627209151, 21.062001646387046 38.79561148170193, 21.0621582113698 38.79572352992303, 21.062423493324594 38.79599146718623, 21.062654276461448 38.79625853595529, 21.06265542491781 38.79651081834807, 21.062864358898455 38.797029590532, 21.063345443272286 38.79652817565867, 21.06350603538235 38.79626194309257, 21.063670321994792 38.79590571263417, 21.063755953555958 38.79550245861749, 21.06329479674593 38.79523860688817, 21.06323203771853 38.79480459365582, 21.06315301599086 38.79476656980676, 21.063116256582077 38.7945404187746, 21.062774953664793 38.79444174275838, 21.06232678612294 38.794142177845444, 21.06214019926958 38.79420054652378, 21.061911679904327 38.79415876012376, 21.06179852968985 38.79411086751234, 21.061594489888222 38.79403366029696, 21.061402690089164 38.79393874267905, 21.061085838000345 38.793525360267985, 21.060493059135894 38.79366359199762)))"
V_SDI_R_PHOTOVOLTAICS13.14021,14021,Γ-02125,ΤΖΑΣΠΕΡ ΑΙΟΛΙΚΗ ΕΛΛΑΔΟΣ ΑΕ - PV 1 ΑΝΩΝΥΜΗ ΕΝΕΡΓΕΙΑΚΗ ΕΤΑΙΡΕΙΑ,ΑΔ-01804,ΜΠΑΡΑ,ΧΑΣΙΩΝ,ΓΡΕΒΕΝΩΝ,ΔΕΣΚΑΤΗΣ,2.23,29.53,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-11,2010-09-29,"MULTIPOLYGON (((21.576524126607747 39.90617114815487, 21.576286383084962 39.90727421592415, 21.577556285689234 39.9077511870107, 21.578169088881527 39.90828648337538, 21.578695999452332 39.908603779440966, 21.578910163951992 39.908833464542305, 21.57914326952174 39.9091896631515, 21.57930184472933 39.90933711039199, 21.57946073761168 39.909475555604686, 21.580313341093007 39.910178000681654, 21.58159234250272 39.908736318074226, 21.576524126607747 39.90617114815487)))"
V_SDI_R_PHOTOVOLTAICS13.13496,13496,Γ-01979,"4 ""Ε'"" ΕΝΕΡΓΕΙΑΚΗ Α.Ε.",ΑΔ-01571,ΝΤΑΡΑΛΗ,ΘΗΒΑΙΩΝ,ΒΟΙΩΤΙΑΣ,ΘΗΒΑΙΩΝ,1.527,22.883,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-07,2010-05-19,"MULTIPOLYGON (((23.239352393695846 38.307729917597726, 23.23958380773995 38.30739814703048, 23.239367559113187 38.3069239653064, 23.239250567999658 38.30659417141768, 23.238786310603736 38.30584053393272, 23.238755681951723 38.30564134588542, 23.239184117904156 38.30471082225446, 23.23925241730402 38.304435131453296, 23.23888140258188 38.30422697631456, 23.238434976249618 38.30467937517916, 23.23820414315705 38.30464975831023, 23.23815431016441 38.30497468487929, 23.238111732096886 38.30541510476293, 23.238038668576177 38.30576304169825, 23.237487799362913 38.307035318598444, 23.237879839281323 38.30720260920921, 23.23833010229794 38.307369465478104, 23.238821948110402 38.30754127619757, 23.239352393695846 38.307729917597726)))"
V_SDI_R_PHOTOVOLTAICS13.13406,13406,Γ-02437,ΣΑΜΟΛΑΔΑΣ ΕΥΡΥΠΙΔΗΣ ΚΑΙ ΣΙΑ Ε.Ε.,ΑΔ-01479,Δ.Δ. ΚΟΛΧΙΔΑΣ,ΓΑΛΛΙΚΟΥ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,1.012,27.118,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-11,2010-03-12,"MULTIPOLYGON (((22.92112994949765 40.927030386748484, 22.921646027771914 40.92686072814547, 22.92168152589157 40.92667162064668, 22.921360668982967 40.92626649992983, 22.9213009660827 40.92590633970359, 22.92125318560615 40.925550704914194, 22.921122197918237 40.92514105395777, 22.921086190651916 40.92464581418111, 22.921086015938823 40.92439367690221, 22.92082447168057 40.92401559323876, 22.920610686850175 40.92397972193175, 22.92034973718492 40.92414185623857, 22.920112270404662 40.9241599908019, 22.91999345453908 40.924061050467095, 22.919803530055454 40.9241061133742, 22.919684707721164 40.92397114041424, 22.919399630310835 40.923755158322116, 22.919263193758624 40.923746493047254, 22.92112994949765 40.927030386748484)))"
V_SDI_R_PHOTOVOLTAICS13.14220,14220,Γ-02312,ΕΞΑΡΧΟΣ - ΓΚΟΤΣΙΝΑΣ & ΣΙΑ ΟΕ,ΑΔ-01317,ΒΑΣΙΛΑΚΙ,ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ,ΗΛΕΙΑΣ,ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ,1.848,15.894,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-11,2009-12-15,"MULTIPOLYGON (((21.77719323147063 37.6342039222978, 21.777420272230522 37.63419017792355, 21.77785331311029 37.63410822133849, 21.778745857743026 37.63419712881359, 21.77892384277625 37.63430862110737, 21.779069998041045 37.63434742028697, 21.779637332399528 37.63432205613128, 21.779940433074277 37.63441787903208, 21.77998023991862 37.63384188071882, 21.779817332602594 37.63360451029954, 21.779389927268817 37.63349733497237, 21.77922755886916 37.6332419505427, 21.778902886552295 37.633109672880686, 21.777499923515247 37.63303818410209, 21.777138327985995 37.6330043342731, 21.776922078990317 37.63303630493283, 21.777002210902833 37.63338927084088, 21.777053736421575 37.63356146393172, 21.7771476102128 37.63383358364599, 21.777177559602773 37.63396932329828, 21.77719323147063 37.6342039222978)))"
V_SDI_R_PHOTOVOLTAICS13.11517,11517,Γ-02019,ΗΛ.ΕΝ. ΠΑΡΑΓΩΓΗ & ΕΜΠΟΡΙΑ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ (Δ.Τ. ΗΛ.ΕΝ ΕΠΕ),ΑΔ-01460,ΔΔ ΠΕΝΤΑΛΟΦΟΥ,ΕΧΕΔΩΡΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΔΕΛΤΑ,1.039,23.399,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-08,2010-02-22,"MULTIPOLYGON (((22.81164965808121 40.73570059121659, 22.812472640822072 40.73577212001561, 22.813135795552288 40.73317554280842, 22.812169933741945 40.732949407330466, 22.811909970188015 40.733982686156715, 22.811780830958437 40.734584912785635, 22.81173364686762 40.73510690831893, 22.81164965808121 40.73570059121659)))"
V_SDI_R_PHOTOVOLTAICS13.12410,12410,Γ-01800,EYKΛΕΙΑ ΑΝΑΠΤΥΞΙΑΚΗ ΑΕ,ΑΔ-01296,ΜΠΕΛΤΕΚΟΥ,ΛΕΩΝΙΔΙΟΥ,ΑΡΚΑΔΙΑΣ,ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ,1.66,31.772,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-03-16,2009-09-11,"MULTIPOLYGON (((22.78804623003807 37.202779044446004, 22.787903680493965 37.20292036024149, 22.787799435299412 37.20316076603949, 22.78780568244967 37.20337607313094, 22.78781026945466 37.203533135807064, 22.787834705037724 37.203583501106, 22.787982236338397 37.203722647385874, 22.78800630671593 37.20377472148347, 22.78805568326071 37.203780454536705, 22.78818032709237 37.20373720291036, 22.788234890559135 37.20374271854705, 22.788289792978595 37.20366360055591, 22.788522768949672 37.203800916132714, 22.78861788650884 37.203778994538446, 22.788677136880356 37.20374507862988, 22.788802848579333 37.203719593924966, 22.788891883868867 37.203796217967394, 22.78898114559862 37.203774055937295, 22.78909160710099 37.20375093880113, 22.789227524060372 37.20370735063201, 22.78927809632052 37.20365234418275, 22.789281817739116 37.203581625981585, 22.789304377437936 37.20343205163406, 22.78915188986222 37.203349100768264, 22.788963281136315 37.203277137471936, 22.788775593470024 37.203218072648355, 22.788586234240515 37.203143757562266, 22.788479165427653 37.203109763132275, 22.78828729645656 37.20303740487915, 22.788244932103055 37.20300893941913, 22.788209573138435 37.20297928371531, 22.788132745317828 37.20287925873147, 22.788095590885263 37.20280686047551, 22.78804623003807 37.202779044446004)), ((22.790457103852326 37.19950095635305, 22.790374617210897 37.19952255778859, 22.790010970140802 37.1997892276918, 22.789793660864316 37.19988897327582, 22.789523679357394 37.19996688590317, 22.789458193196847 37.20005986737211, 22.789440804752488 37.200139729898744, 22.789551000043215 37.20025289426549, 22.789645186718076 37.20027485821897, 22.789746947167668 37.20028824648091, 22.789770974733038 37.20032184205794, 22.789623319753126 37.20035999299826, 22.78927525763367 37.200691379100896, 22.789135982929047 37.20077621506665, 22.78893679186772 37.200704053437605, 22.788807843931572 37.20063621513344, 22.78861236176568 37.20054354001944, 22.788303183848825 37.200831695339154, 22.78820104131731 37.200954947139635, 22.78812697482441 37.201055862109044, 22.787933807673166 37.201318703421, 22.787918563820863 37.20136298417183, 22.78795986182241 37.20140874482579, 22.788026217601473 37.20143069570628, 22.78812729106707 37.20150122415436, 22.78822288109746 37.20162577763552, 22.78827973546978 37.20167115650456, 22.78836675344559 37.2016905243591, 22.788374833996038 37.20172894692374, 22.78833637525137 37.20172996331932, 22.788312818148583 37.20185726387892, 22.788303459318225 37.20216074400534, 22.788155287235476 37.202160490123724, 22.788223500621665 37.20231297588147, 22.788208111140136 37.20240160176157, 22.788247060281154 37.2024953700005, 22.788247058068855 37.20249537000824, 22.788236124923543 37.2026294696878, 22.788136017195285 37.202660533741486, 22.788053886472845 37.202730089158955, 22.7881414699938 37.202777585195975, 22.78818310391627 37.20285877239234, 22.78825452506176 37.2029516213441, 22.78831799448219 37.20299914097507, 22.788501573759074 37.20306843992865, 22.78859888969056 37.20309926999642, 22.788766019867182 37.20290754864826, 22.788612682353758 37.20287082783226, 22.788518710533495 37.202807042444284, 22.788479927144277 37.20271669071258, 22.788485720702997 37.202650320220876, 22.788454663082796 37.20254896084903, 22.78848347250668 37.202494553911436, 22.788483484626877 37.202494553869, 22.788905186370197 37.2024211694971, 22.789123362236516 37.20239852260343, 22.789208755777615 37.202434998956285, 22.789349320289116 37.202453020571355, 22.789386045510906 37.20239715145171, 22.78952906140943 37.20244512284456, 22.78992757929415 37.20251102744047, 22.790066578918047 37.20170240079238, 22.79022169450878 37.20169821642091, 22.79021379079799 37.20150155045098, 22.790239772776758 37.20139861079722, 22.79002355346449 37.20136242136185, 22.789791909069706 37.20129020006391, 22.78967994128604 37.2012526413948, 22.789582911569102 37.20121811959519, 22.789624736399265 37.20111804602471, 22.789714501214984 37.20101476670791, 22.789717609443297 37.20098947042407, 22.789920231347065 37.20079035829966, 22.79012488371014 37.200492207761016, 22.790167180824373 37.20049660571925, 22.790131286896248 37.20058520274607, 22.79015380025025 37.20062896807891, 22.790287189297555 37.200588056867176, 22.790427734405363 37.20062121973071, 22.790528382644265 37.20058430041993, 22.7906402355933 37.20009934222725, 22.790740505535076 37.19993776160453, 22.79082485956239 37.199735547628585, 22.790872385676973 37.199616963877276, 22.790709973249996 37.19956320771314, 22.790457103852326 37.19950095635305), (22.788595484444507 37.20121884188066, 22.788585025126473 37.20146435377904, 22.788588682887106 37.201348296840386, 22.788595484444507 37.20121884188066)), ((22.789920794950316 37.19966808830635, 22.789821661288673 37.1996807761643, 22.78957053089042 37.19968605209211, 22.789563474649206 37.199775123894874, 22.789530740021164 37.19982814954983, 22.789523529137245 37.199891621316134, 22.789758806152115 37.19984895760721, 22.789962196320907 37.19972151084155, 22.789920794950316 37.19966808830635)))"
V_SDI_R_PHOTOVOLTAICS13.12430,12430,Γ-02127,ΤΖΑΣΠΕΡ ΑΙΟΛΙΚΗ ΕΛΛΑΔΟΣ ΑΕ - PV 1 ΑΝΩΝΥΜΗ ΕΝΕΡΓΕΙΑΚΗ ΕΤΑΙΡΕΙΑ,ΑΔ-01805,ΚΟΥΤΣΠΕΡΟ,ΑΝΑΚΤΟΡΙΟΥ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΑΚΤΙΟΥ - ΒΟΝΙΤΣΑΣ,4.523,39.448,1.3,ΑΔΕΙΑ ΛΕΙΤΟΥΡΓΙΑΣ,2007-06-11,2010-09-29,"MULTIPOLYGON (((20.97529762080538 38.89446773196356, 20.975823555198648 38.894841717967516, 20.976470668814116 38.89643502882193, 20.977135895014797 38.89651532895486, 20.977220382864783 38.896697693889394, 20.977595113617234 38.897103789462655, 20.977736799732742 38.897296644661346, 20.97820086104396 38.8972275866141, 20.97931330029074 38.89736450127034, 20.97945568536006 38.89726909116948, 20.97978460941102 38.89712445747786, 20.979973055894686 38.897030239173304, 20.980177213400232 38.896837330495124, 20.980773206003537 38.896375290049, 20.981050722766454 38.89635544540449, 20.981375445396207 38.89630979514685, 20.981438360910328 38.89618529987731, 20.981671945898892 38.89556973633795, 20.98160612845065 38.89494642636158, 20.98164715532419 38.89479433822424, 20.98177183853007 38.89457234395988, 20.98123824753834 38.894378362289125, 20.98113804222915 38.89429469019875, 20.98095296057321 38.89403765445535, 20.980841240928488 38.89395368415119, 20.98036408865875 38.893788185500256, 20.979872372120813 38.893694378278504, 20.979711542365468 38.89368120596807, 20.97917185970859 38.89363119801611, 20.978564232443773 38.89355240156012, 20.97841644489935 38.89350353005536, 20.977926641811084 38.89336472025658, 20.977811873373955 38.89335273848318, 20.97745955180157 38.89350576947463, 20.977365904537745 38.893539378426155, 20.977239239148567 38.89353609664612, 20.976734105131342 38.893486972563984, 20.976344503920096 38.893431831857946, 20.97598830260358 38.89340458196968, 20.975795221279434 38.89333651554524, 20.97564934613778 38.893242646177406, 20.975150490277723 38.893860328443786, 20.975203535294913 38.89424007290352, 20.97529762080538 38.89446773196356)))"
